Bepaling,BepalingCode,count,mean,std,min,25%,50%,75%,max,include,group
ACTH,K_ACTH_EP,42,18.21667,41.83091,0.6,3.525,5.6,14,202,0,
Calcium totaal,K_CA_UR,42,2.254048,1.817181,0.2,0.7425,1.515,3.425,7.75,0,
HTLV antistoffen testwaarde,M_HTLVARCHnum_SR,42,0.432381,1.606898,0.07,0.1025,0.135,0.27,10.58,0,
Thiopental,A_THP_SR,42,23.11867,16.98482,1,9.078575,20.30015,31.68625,65.3105,0,
mengAPTT,APT;BL,42,30.06,6.1707,1.52,28.35,29.45,32.725,48.6,0,
Methotrexaat,MTX;BL,42,1.455476,2.944122,0.04,0.11,0.28,1.06,11.74,0,
QuantiFERON-TB Gold Plus ELISA uit Nil buis,M_Igra_N,41,0.109705,0.187719,0.016,0.038,0.064,0.083,1.098,0,
Soluble CD25,SOCD25;BL,41,27892.1,31078.73,1890,7687,20700,34000,170000,0,
QuantiFERON-TB Gold Plus ELISA uit TB1 buis,M_Igra_TB1,41,0.128863,0.214893,0.012,0.033,0.054,0.108,1.237,0,
aantal T-cellen,K_CD3A_HB,41,743.6341,558.2911,9,297,599,1118,2183,0,
aantal Lymfocyten,K_LYMFMI_HB,41,1.000098,0.656677,0.024,0.5,0.9,1.4,2.9,0,
aantal CD8+ T-cellen,K_CD8A_HB,41,372.122,299.9782,4,148,230,581,1078,0,
QuantiFERON-TB Gold Plus ELISA uit Mitogen buis,M_Igra_M,41,3.614366,4.869514,0.022,0.238,1.126,5.503,17.239,0,
aantal CD4+ T-cellen,K_CD4A_HB,41,348.3902,314.3683,5,86,326,509,1247,0,
Paracetamol,PARA;BL,41,64.4878,101.7866,6,12,24,50,422,0,
Vit-B6,K_VIB6_HB,41,98.59756,53.22111,24,67.8,88,120,352.5,0,
QuantiFERON-TB Gold Plus ELISA uit TB2 buis,M_Igra_TB2,41,0.124288,0.188801,0.017,0.036,0.055,0.112,1.009,0,
% CD3+ (T) van lymfocyten,K_CD3_HB,41,70.56098,20.88067,12,61,77,83,97,0,
Methotrexaat,A_MTB_EP,41,14.82829,77.35486,0.07,0.1,0.22,0.84,495.62,0,
Leukodiff,DIFA;BL,41,0.97561,0.156174,0,1,1,1,1,0,
cito HbS,CHBS;BL,40,38.27,22.04199,5.5,24.4,34.35,44.05,81.9,0,
Thrombo CD61,K_TR61_EB,40,46.875,67.80409,2,11,21,63,363,0,
CD4/CD8 ratio,K_CD48_HB,40,1.10675,0.797198,0.04,0.5,0.95,1.6,3.6,0,
KetonenStatStrip,KETOS;BL,40,0.4175,0.58524,0.1,0.275,0.3,0.4,3.9,0,
% CD8+T van lymfocyten,K_CD8_HB,40,36.575,16.91591,6,24,35,50,74,0,
% CD4+T van lymfocyten,K_CD4_HB,40,31.6,17.99402,2,18,30.5,46,64,0,
BK fles ped start tijd,M_BacFXped_START,40,20200238,63.84122,20200127,20200205,20200216,20200304,20200408,0,
Alfa-1-Antitrypsine (A1AT),A1AT;BL,39,2.097179,0.644715,0.73,1.655,2.2,2.415,3.47,0,
Tryptase,K_TRIP_SR,39,6.295385,6.395006,1,3.135,3.97,5.87,29.6,0,
Transferrine,K_TRF_SR,39,1.823077,0.452165,1,1.6,1.8,2.1,2.9,0,
CA 125 (EC12),EC12;BL,39,279.4872,585.4272,10,54,127,261.5,3610,0,
anti CCP,CCP;BL,39,7.435897,4.393745,1,4.5,7,9.5,22,0,
"ENA antistoffen screen, indien pos typ kwan",K_ENA_SR,39,3.346154,8.455607,0,0.1,0.2,0.4,32,0,
aantal Leukocyten,K_LEUMI_HB,39,8.761538,4.382118,0.3,5.05,9.1,11.9,18.4,1,LEUKOCYTES
ery A hand,H_ery_A_hand,38,3.236842,1.018324,0.5,3,4,4,4,0,
HIV antistoffen testwaarde,M_HIVAsnum_EP,38,2.994,16.49583,0.186,0.25125,0.289,0.346,102,0,
HIV p24 antigeen testwaarde,M_HIVp24num_EP,38,0.294474,0.093925,0.216,0.245,0.2855,0.30425,0.801,0,
pH gemeten,K_PHM_UR,38,6.094211,1.142408,4.68,5.1,5.675,7.225,8.04,0,
Kreatinine,K_KRB_HP,37,117.9189,35.56635,50,107,119,131,260,0,
Aciclovir,A_ACV_HP,36,5.253,4.632212,0.808,2.0675,3.96,6.9925,21.3,0,
Factor X activiteit,H_FAXact_BL,36,69.16667,30.97603,10,49.75,73,87.5,129,0,
Trijodothyronine (T3),T3;BL,36,1.653056,1.735435,0.45,0.74,1.075,1.8,9.8,0,
Glucose ascitesvocht,K_GLUC_AS,36,6.555556,2.883494,0.1,5.25,6.75,7.8,14.7,0,
Basofielen,SBAS;BL,36,1.527778,0.810154,1,1,1,2,4,0,
HSV-1 DNA Cp waarde,M_PCR_HSV1_BV_Cp,36,22.88917,6.326671,14.32,17.98,20.32,25.4175,35.75,0,
Promyelocyt,SPRM;BL,36,2.916667,2.979693,1,1,2,3.25,13,0,
Clostridium toxine DNA Cp waarde,M_PCR_CdiffTox_FA_Cp,35,32.718,4.48959,24.96,29.055,31.77,36.515,40,0,
Factor VII activiteit,H_FAVIIact_BL,35,55.91429,41.82834,7,33.5,46,72,222,0,
Rivaroxaban,RIVA;BL,35,148.2857,126.3125,3,34.5,99,227,439,0,
Factor IX activiteit,H_FAIXact_BL,35,111.1171,48.69551,26,87,106,134.55,247.6,0,
Factor II activiteit,H_FAIIact_BL,35,64.8,27.7317,10,50,65,82.5,120,0,
PROL,PROL;BL,34,0.715,1.119438,0.12,0.1825,0.285,0.54,5,0,
Verzamelperiode,K_VZP_FA,34,37.26471,22.0018,7,24,24,66,72,0,
CMV DNA,M_PCR_CMVkwan2_BC,34,14792.06,32164.5,1000,1000,1000,4292.5,100000,0,
Gewicht feces,K_GEW_FA,34,1501.215,1765.641,98.1,295.25,681.65,2314.25,7356,0,
Cumulatief T-cellen/KG,S_cumTcellenkg_AL,33,22.48061,12.26253,0,13.53,22.24,28.51,55.65,0,
Cumulatief CD34/KG,S_cumCD34kg_AL,33,6.597879,3.087482,1.99,4.46,5.99,8.4,12.62,0,
Helicobacter pylori antigeen testwaarde,M_HpyloriAgNum_FA,33,0.347091,0.349036,0.08,0.142,0.209,0.31,1.53,0,
Ganciclovir,A_GCV_HP,33,2.652667,2.469838,0.1,1.03,1.79,3.98,10.08,0,
Diverse,SDIV;BL,33,129.697,71.4355,30,50,100,200,200,0,
Gluc.Kwan.,K_GLUKWA_UR,33,27.47212,63.88673,0.1,0.43,1.25,5.78,254.82,0,
CD34/KG,S_CD34kg_AL,33,6.202727,3.198855,1.82,3.66,5.41,8.4,12.62,0,
T-cellen/KG,S_Tcellenkg_AL,33,20.43606,12.2712,0,12.45,19.69,27.99,55.65,0,
AFP,K_AFPKC_SR,33,166.4242,523.543,1,2,6,12,2350,0,
vWF Akt,F8RF;BL,33,157.0606,64.26942,71,115,131,188,299,0,
Lysozym (LYSO),LYSO;BL,33,3.9,3.921097,0.7,2.4,2.7,3.9,19.5,0,
Tot. WBC*10^8,S_totWBC_AL,32,523.4031,263.115,137,360,441.5,632.75,1319,0,
CD34,S_CD34_AL,32,3.780313,16.49899,0.38,0.65,0.805,1.1225,94.18,0,
Anti-Xa Ongefractioneerde heparine (LEO),H_AXOH_CP,32,0.486875,0.56936,0.1,0.2875,0.405,0.5075,3.46,0,
Concentratie sCD25 (IL2-R),K_SCD25C_SR,32,28294.19,32828.2,1380,5893.75,22050,34400,170000,0,
T-cel %,S_Tcellen_AL,32,27.14969,9.765631,1.06,19,27.385,34.7475,43.23,0,
Imm.glob.E (IGE),IGE;BL,32,238.625,455.1749,5.1,22.725,44,240,2240,0,
Segm.gran (OV),SSEGO;L,32,6.875,10.43181,1,1,3,5.25,46,0,
Amylase pleuravocht,K_AMYL_PP,32,725.5625,1481.999,3,15.5,29,157.75,5724,0,
HCG,K_HCG_SR,31,7494.203,39775.85,2,5,5,48.035,221721,0,
Quetiapine,A_QTP_SR,31,649.1276,1060.265,1.1,56.73385,113.1,598.4575,4485.79,0,
Factor XII activiteit,H_FAXIIact_BL,31,53.03226,30.24619,10,29,47,71,127,0,
LH,K_LH_SR,31,3.917097,9.525621,0.1,0.1,0.4,2.45,41,0,
Hepatitis A IgG testwaarde,M_HAVGnum_SR,31,5.425484,4.584773,0.16,0.605,5.21,9.3,14.64,0,
Totaal Vet,K_FTV_FA,31,9.441935,11.36605,0.3,1.5,4.7,13.8,47,0,
Pneumocystis jirovecii DNA Cp waarde,M_PCR_PCP_BC_Cp,31,34.96839,4.47846,24.71,33.04,36.1,38.425,40,0,
Nortriptyline,A_NTL_SR,31,146.1662,223.0408,2.5,33.4911,80.7582,152.991,1135.25,0,
Vit-E,K_VIE_SR,31,31.35484,11.96536,11,21.5,31,40,56,0,
Hep.anti-Xa,ATXA;BL,30,0.562,0.301929,0.12,0.3525,0.575,0.7075,1.64,0,
FSH,K_FSH_SR,30,6.942,20.1571,0.1,0.36,1.035,2.75,87,0,
Coxiella burnetii IgG fase 1 testwaarde,M_COXBURGF1num_SR,30,32,0,32,32,32,32,32,0,
Erythroblasten,H_HERB_beenmerg_EB,30,4.133333,8.182122,0,1,2,2.75,35,0,
Prot.S-act,PSAC;BL,30,73.03333,21.46767,33,55.75,75,89.5,119,0,
Fenyvrij,FEVR;BL,30,1.447433,1.120086,0.151,0.51,1.035,2.0475,3.74,0,
Factor XI,FC11;BL,30,61.49667,29.71996,11,43.25,59.5,71.5,144,0,
Zuurstof toediening,K_ZRST,29,5.724138,4.122209,0,3,4,10,15,0,
"Pentobarbital, metaboliet v Thiopental",A_PBTM_SR,29,2.827341,2.056552,0.598,1.3,2.4,4.23,8.9881,0,
Eo,K_AEOAL_EB,29,0.196552,0.238392,0,0.03,0.07,0.28,0.91,0,
Hepatitis A IgM testwaarde,M_HAVMARCHnum_SR,29,0.233103,0.148447,0.09,0.14,0.2,0.25,0.86,0,
Gewicht feces monster,K_GEWM_FA,29,75.60379,11.48333,52.6,69.9,76.2,77.9,117.7,0,
Testosteron,TST;BL,29,6.289655,5.958448,0.2,0.7,6.2,9.5,17.9,0,
Gewicht feces monster,K_GEWM2_FA,29,76.40276,11.44488,56.9,68.6,77.3,83.9,93.7,0,
Totaal Stikstof,K_TNbep_FA,29,16.53103,6.375741,7.7,11.2,15.1,21.1,30.6,0,
Totaal Stikstof,K_TNbep2_FA,29,16.64483,6.55491,7.6,11.3,15.7,20.2,34.1,0,
I-Index SR_MAN3,K_ICTIND_SR_MAN3,28,23.39286,61.0903,3,7,12.5,17,334,0,
IGF1 SD,IGF1 SD;BL,28,-0.71071,4.057945,-7.2,-2.4,-1.35,0.25,11.8,0,
Titer NaOH,K_TNAOH,28,0.103382,0.003119,0.0995,0.1,0.103,0.105,0.108,0,
Titratie,K_TITR,28,1.677571,1.201051,0.275,0.74375,1.45,2.45,4.9,0,
Subkl. 4,K_IGG4_SR,28,0.465357,0.397785,0.01,0.175,0.385,0.5125,1.48,0,
Normetanefr.,NME;BL,28,27.89893,92.07459,0.33,0.5675,1.22,1.755,365,0,
Totaal Stikstof,K_TN_FA,28,5.55,4.778695,1,2.45,3.7,6.925,19.2,0,
Ins.Like GF1,IGF1;BL,28,20.58571,30.47041,1.9,6.075,11.5,19.25,136,0,
Reumafactor (IgM),K_RF_SR,28,23.28214,54.46678,0.4,0.775,1.7,5.35,200,0,
L-index SR_MAN3,K_LIPIND_SR_MAN3,28,9.785714,7.156231,1,5,9,12,34,0,
Metanefrine,MET;BL,28,22.84393,80.3211,0.11,0.2075,0.295,0.3925,315,0,
Gewicht portie feces vetbalans,K_GEWP_FA,28,26.31071,4.473241,16.8,23.625,25.9,29.925,34.6,0,
H-Index SR_MAN3,K_HEMIND_SR_MAN3,28,6.357143,7.066951,0,2,4,6.25,26,0,
Coxiella burnetii IgG fase 2 testwaarde,M_COXBURGF2num_SR,27,32,0,32,32,32,32,32,0,
Bilirubine ascitesvocht,K_BILT_AS,27,65.22222,128.1977,3,12.5,30,60,664,0,
Ceruloplasm. (CERU),CERU;BL,27,0.27037,0.088599,0.1,0.21,0.24,0.33,0.47,0,
CMV DNA Cp waarde,M_PCR_CMV_BR_Cp,27,35.42926,3.373002,28.97,33.67,36.26,37.775,40,0,
HSV-1 DNA Cp waarde,M_PCR_HSV1_MU_Cp,27,22.10519,4.645267,11.97,19.35,22.44,25.52,30.25,0,
vWF Ag,F8AG;BL,27,224.1111,59.81081,60,208.5,247,257.5,300,0,
HBe testwaarde.,M_HBenum_SR,27,61.27844,314.2162,0.211,0.283,0.327,0.4045,1633.477,0,
Fosfaat,K_PHOS_UR,26,10.80654,8.814464,1.1,1.435,11.31,15.825,34.71,0,
CCP antistoffen,K_CCP_SR,26,16.36154,66.95092,0.2,0.7,0.9,1.275,340,0,
anti HBe testwaarde,M_aHBenum_SR,26,3.425,10.46066,0.01,0.9125,1.735,2.0525,54.56,0,
Factor XI activiteit,H_FAXIact_BL,26,63.84615,28.95471,29,44.25,55,85,119,0,
Magnesium,K_MAGN_UR,26,4.159615,3.983357,0.56,1.4225,2.995,5.28,14.9,0,
Free T3,FT3;BL,26,3.238462,1.401735,1.7,2.325,3.15,3.5,8.2,0,
aantal NK cellen,K_NKA_HB,26,123.1538,244.6983,2,25.5,45.5,104.5,1242,0,
C1Est-Rem.,K_C1ES_EP,26,1.499615,0.30038,0.86,1.28,1.465,1.7575,2.1,0,
IGF-1,K_IGF1_SR,26,14.80769,12.41154,1.1,6.275,10.5,19.75,50,0,
aantal B-cellen,K_CD19A_HB,26,70.51154,80.29053,0.1,2.75,47,113,345,0,
Glomerulaire Basaalmembraan antistoffen (GBM),K_GBMA_SR,26,2.326923,4.680475,0,0.425,1,1.775,24,0,
% CD19+ (B) van lymfocyten,K_CD19_HB,26,12.17308,17.69629,0,0.9,4.5,16.75,81,0,
SD IGF-1,K_IGF1sd_SR,26,-1.36615,2.354886,-4.69,-2.7525,-2,-0.025,4.24,0,
%NK van lymfocyten,K_NK_HB,26,11.41154,13.17678,0.7,3,6.5,15.75,66,0,
Testosteron,K_TES_SR,25,24.456,49.95143,0.2,1.2,5,12,195,0,
Normetanefrine,K_NME_EP,25,7.9152,32.23037,0.29,0.42,0.97,1.29,162,0,
Calprotectine (EliA),CALPRO;F,25,368.28,605.0559,6,26,86,339,2474,0,
Metanefrine,K_MET_EP,25,0.2832,0.2618,0.06,0.15,0.23,0.32,1.34,0,
Vit-A,K_VIA_SR,25,1.464,0.681224,0.2,0.8,1.6,2,2.9,0,
AX Frax,FRAX;BL,25,0.522,0.408656,0.11,0.25,0.39,0.59,1.58,0,
Trombinetijd,H_TRT_BL,25,30.128,23.88604,15.4,18.5,21.5,26.9,120,0,
%CD56+T van lymfocyten,K_NKCD3_HB,25,3.46,4.217424,0.1,2,2,4,22,0,
3-Methoxythyramine,K_3MET_EP,25,0.244,0.716211,0.08,0.08,0.08,0.1,3.67,0,
"1,25 vitam.D",VT1;BL,25,62.8,44.70831,21,28,54,79,175,0,
Coxiella burnetii IgM fase 1 testwaarde,M_COXBURMF1num_SR,25,32,0,32,32,32,32,32,0,
Factor X,FC10;BL,24,59.625,25.05266,16,43.25,57.5,74.5,110,0,
Mycoplasma IgG testwaarde,M_MYCGXLnum_SR,24,5.91525,22.4897,0.1,0.1,0.131,2.0725,111,0,
Mycoplasma IgM testwaarde,M_MYCMXLnum_SR,24,3.1425,3.793843,0.35,0.985,1.65,3.225,16,0,
Coxiella burnetii IgM fase 2 testwaarde,M_COXBURMF2num_SR,24,32,0,32,32,32,32,32,0,
Cortisol (COR),COR;U,24,2221.583,4542.306,26,77.75,602,1888.25,20500,0,
Amiodaron,A_AMD_SR,24,1.139292,1.387566,0.1,0.49225,0.7381,1.54195,7.1228,0,
Prot.C Akt,PRCK;BL,24,102.4167,27.45893,26,83.5,108.5,122.5,145,0,
"Amiodaron, desethyl",A_DMO_SR,24,0.417921,0.212679,0.1,0.27865,0.3455,0.527375,0.995,0,
"Carbamazepine 10,11 Epox",A_CBE_SR,24,2.679775,1.425484,0.8786,1.925975,2.49625,2.9041,7.1312,0,
Brucella abortus Ig totaal titer,M_BANGnum_SR,24,22.5,12.24745,20,20,20,20,80,0,
anti-AHG buisjes,H_DC_polyspec_EB,24,1.145833,0.714435,0.5,0.5,1,2,3,0,
Aldosteron,K_ALST_SR,24,0.16,0.178885,0.03,0.03,0.07,0.2325,0.7,0,
Zink,K_ZN_SR,24,10.6875,3.246043,5.5,7.875,10.85,13.35,16.4,0,
CA 19.9 (EC19),EC19;BL,23,370.6957,873.8207,6,22.5,44,208,3865,0,
Ht pleuravocht,K_HT_PP,23,0.04013,0.059703,0,0.0035,0.012,0.043,0.22,0,
IgE totaal,K_IGE_SR,23,1418.074,2961.829,2,69.5,330,596,11849,0,
Factor XII,FC12;BL,23,67.3913,33.81331,13,46.5,60,91.5,138,0,
HSV-1 DNA Cp waarde,M_PCR_HSV1_BR_Cp,23,28.30348,4.821258,17.97,25.07,28.11,31.94,34.78,0,
Magnesium (U),UMAG;U,23,2.161304,1.750099,0.2,0.745,1.75,3.15,6.59,0,
Carbamazepine-diol,A_CBD_SR,23,7.533613,3.717802,1.9897,5.0397,7.645,9.37825,15.9265,0,
Tot.Amiodaron + Amiodaron desethyl,A_AMDTOT_SR,23,1.616261,1.471827,0.497,0.88,1.18,1.934,7.683,0,
PSA,K_PSAKC_SR,23,25.7513,61.50387,0.1,0.6,1.3,11.5,242,0,
Thrombo's,K_THR_CI,23,84,56.56211,11,33.5,95,118.5,190,0,
Hb ascitesvocht,K_HB_AS,22,1.759091,1.543237,1,1,1,1.675,6.2,0,
Cryoglobulin,CRYO;BL,22,2.309545,5.400865,0.01,0.02,0.335,1.7925,24.85,0,
Anti B hand,H_Anti_B_hand,22,4,0,4,4,4,4,4,0,
Vitamine A (VTA),VTA;BL,22,1.343182,0.939135,0.5,0.825,1.075,1.7,4.8,0,
Compl.C1 q (C1Q),C1Q;BL,22,139.0909,75.52165,22.4,93.425,132,163.5,418,0,
Prolactine,K_PROL_SR,22,0.588182,0.673185,0.05,0.1375,0.335,0.74,2.6,0,
Mycobacterium genus 16S DNA Cp waarde,M_PCR_16SMgenus_BC_Cp,22,31.82636,2.067933,28.51,29.9675,31.525,33.42,36.19,0,
SARS-Coronavirus 2 (2019) RNA sneltest Cp waarde,M_PCR_SARSCoV2_Xpert_KN_Cp,21,12.28571,16.79662,0,0,0,31.5,41.2,0,
Mycofenolzr,MYZU;BL,21,4.450524,4.777046,0.52,1.03,3.68,6.07,21.6,0,
Fluconazol,A_FCZ_SR,21,16.97425,12.41059,4.38,9.51,12.1,23.6,53.8,0,
Mpro1-Band,K_MPR1_SR,21,9.687143,11.91263,1,2,4.4,9.83,42.7,0,
Beta-Trace overig,K_BTP_OV,20,9.73725,10.70412,0.186,1.8175,5.2,14.375,32.6,0,
Urinezuur (U),UURI;U,20,2.4405,2.026572,0.22,1.0175,2.035,3.05,9.12,0,
HHV-6 DNA,M_PCR_HHV6_load_EP,20,38737,121256.9,1000,1000,1805,8865,539000,0,
Epstein-Barrvirus DNA kwantitatief PCR,M_PCR_EBVkwan_EP,20,9431.85,25109.23,500,500,500,897.75,100000,0,
Opmerking,H_Opmerking_EB,20,57.5,33.54102,50,50,50,50,200,0,
IgG1,IGG1;BL,20,7.855,5.06551,2.35,4.3875,5.935,9.9,19.7,0,
RSV RNA sneltest Cp waarde,M_PCR_RSV_Xpert_KN_Cp,20,0,0,0,0,0,0,0,0,
AF-bot,BOAF;BL,20,19.8,10.89471,8,11.75,17.5,23.25,56,0,
AF-lever1,L1AF;BL,20,41.25,16.57797,12,30,40.5,55.5,67,0,
AF-lever2,L2AF;BL,20,27.55,11.87866,12,21,26,30,59,0,
Paracetamol,A_PRC_HP,20,8.465,9.783406,3,3,3,11.325,33.3,0,
anti HBe testwaarde,M_aHBeXLnum_SR,20,1.64015,0.88186,0.1,1.165,2.095,2.335,2.4,0,
Influenza B RNA sneltest Cp waarde,M_PCR_FluB_Xpert_KN_Cp,20,0,0,0,0,0,0,0,0,
antiTSHreceptor,K_ATSHR_SR,20,6.58,20.78311,1,1,1,1,94,0,
IgG2,IGG2;BL,20,2.9295,2.650566,0.84,1.1025,1.9,3.625,10.6,0,
Influenza A RNA sneltest Cp waarde,M_PCR_FluA_Xpert_KN_Cp,20,0,0,0,0,0,0,0,0,
IgG3,IGG3;BL,20,0.4295,0.354705,0.08,0.1825,0.3,0.5475,1.27,0,
Kalium,K_KA_OV,19,9.604737,8.471184,1.5,4.4,7.4,10.19,36,0,
CEA,K_CEAKC_SR,19,18.84211,40.44786,1,2,5,9,160,0,
Clozapine,CLOZ;BL,19,0.503684,0.322046,0.04,0.25,0.49,0.685,1.25,0,
Elastase,ELAS;F,19,156.4211,151.6012,16,30.5,96,284,456,0,
HIV-1 RNA,M_PCR_HIV1_load_SLV_EP,19,63763,163280.8,20,61.5,170,49361,707000,0,
Albumine (imm.),K_ALBI_SR,19,26.05789,8.026367,13.8,20.55,26,30.85,46,0,
Erytroblasten (HEBL),HEBL;BL,19,30.47895,109.1662,0.5,0.8,0.9,2.2,478,0,
GBM antistoffen,AGBM;BL,19,2.084211,0.499181,1.9,1.9,1.9,1.9,3.9,0,
Ceruloplasmine,K_CER_SR,19,0.306684,0.246936,0.11,0.1905,0.238,0.3435,1.25,0,
ACTH,ACTH;BL,19,8.147368,11.75393,0.8,1.75,6.2,8.9,54,0,
Nortriptyl.,NTRI;BL,19,0.18,0.228279,0.02,0.04,0.06,0.275,0.92,0,
Tr.poietine,T023;BL,19,340.9474,456.9791,6,22.5,75,626.5,1500,0,
Ery's pleuravocht,K_ERY_PP,19,0.242,0.889446,0,0.003,0.012,0.034,3.9,0,
Vitamine E (VTE),VTE;BL,19,24.62421,9.864247,15.9,17.5,19.9,31.1,47.4,0,
Mycoplasma pneumoniae IgG testwaarde,M_MYCGnum_SR,18,16.20061,18.08836,3,6.305,10.57,20.38875,82.468,0,
Mycoplasma pneumoniae IgA testwaarde,M_MYCAnum_SR,18,11.75117,21.99758,2,2.0465,5.0865,6.64275,92.268,0,
Cholesterol,K_CHOL_OV,18,1.013333,0.682831,0.2,0.475,0.85,1.425,2.5,0,
Mycoplasma pneumoniae IgM testwaarde,M_MYCMnum_SR,18,6.004222,2.695193,5,5,5,5,15.026,0,
Leuco's peritoneaalvocht,K_LEU_PV,18,0.608889,0.782647,0,0.021,0.329,1.0255,2.798,0,
Flucytosine,FCYT;BL,18,80.32944,60.16302,14.51,33.8825,60.06,117.425,199,0,
Vancomycine,VANM;L,18,14.57111,7.934954,0.5,10.25,16.1,17.775,35.1,0,
Triglyceriden,K_TRGL_OV,18,0.656667,1.046186,0.1,0.225,0.4,0.675,4.72,0,
Olanzapine,A_OLZ_SR,18,95.99777,207.7143,2,9.66975,19.045,46.09155,845.93,0,
antiGAD,K_AGAD_SR,18,11.18889,25.84797,1,1,1,1.65,93.3,0,
Mycobacterium genus 16S DNA Cp waarde,M_PCR_16SMgenus_SP_Cp,18,30.54111,1.980261,27.15,29.5525,30.19,31.89,34.2,0,
Busulfan,BUSULF;BL,18,2440.078,1027.51,81.4,1772.5,2405,3257.5,3860,0,
Aspergillus DNA Cp waarde,M_PCR_Aspergillus_BR_Cp,18,35.55056,2.161082,30.33,34.4,36.145,36.9325,38.59,0,
Homocysteine (totaal),K_HOM_EP,18,18.08833,26.06729,2.4,6.025,10.2,18.725,115.09,0,
"ENA, U1 RNP antistoffen",K_ERNP_SR,17,17.38235,66.39123,0.3,0.8,1,2.1,275,0,
Subkl. 3,K_IGG3_SR,17,0.314706,0.282204,0.06,0.17,0.21,0.29,1.13,0,
IgG-Index,K_IGGIBer,17,0.522941,0.146064,0.27,0.44,0.53,0.56,0.95,0,
Subkl. 2,K_IGG2_SR,17,1.621176,0.813395,0.23,1.31,1.54,2,3.8,0,
%IgGsub,K_IGGSBer,17,102.7647,9.114065,87,98,105,109,116,0,
Toxoplasma gondii IgM testwaarde,M_TOXMnum_SR,17,0.434118,1.307689,0.05,0.07,0.09,0.18,5.5,0,
Factor II,FC02;BL,17,51.29412,20.53584,9,44,55,65,84,0,
Sulfamethoxazol,A_SUF_SR,17,87.84758,72.24907,27.27,43.6,55.43,99,266.75,0,
Theofylline,THEF;BL,17,12.48824,5.322814,5,8.3,11.1,15.6,22.5,0,
MTBC IGRA,QFTB;BL,17,0.507647,2.028884,0,0,0,0.02,8.38,0,
STR % Donor Mnc,H_STRM_BL,17,100,0,100,100,100,100,100,0,
anti HCV testwaarde,M_aHCVnum_EP,17,0.930294,3.472676,0.019,0.04,0.05,0.074,14.4,0,
Subkl. 1,K_IGG1_SR,17,7.874118,9.151836,1.19,3.1,5.4,7.4,33.6,0,
Totaal Eiwit drainvocht,K_TE_DR,17,17.17647,11.66316,5,8,15,18,46,0,
Leuco's drainvocht,K_LEU_DR,17,59.56671,91.50038,0.059,0.224,2.496,169.344,210.258,0,
"ENA, SmD antistoffen",K_ESMD_SR,17,1.376471,1.055065,0.2,0.7,1.2,1.5,4.2,0,
anti-IgG buisjes,H_DC_anti_IgG_EB,16,1.125,0.74162,0.5,0.5,1,1.25,3,0,
"ENA, SS-A (Ro60+Ro52) antistoffen",K_ESSA_SR,16,33.60625,81.05621,0,0.175,0.4,7.425,240,0,
Salicylzuur,A_SAL_EP,16,312.9056,401.364,50,50,50,394.3625,1168.4,0,
B2 microglobuline (PB2M),PB2M;BL,16,6.475,6.654372,1.4,2.475,4.6,7.35,29,0,
Urinezuur,K_URIZ_UR,16,2.213125,1.426365,0.37,1.3225,2.12,2.68,5.5,0,
Diluent Volume Serumr voor IEF oligoclonale banden,K_DVOLS_SR,16,114.5,78.0188,32,66.25,92.5,137.75,304,0,
Lipase ascitesvocht,K_LIPA_AS,16,134.9188,232.5574,3,4.8,19.1,76.775,600,0,
Factor VIII Chromogeen,H_FVIIIC_CI,16,286.1875,117.3924,105.2,208.625,268.2,330.175,480,0,
Fluconazol,FLCO;BL,16,15.02688,6.829156,6.39,10.825,13.89,17.65,32.8,0,
ACTH,ACH;BL,16,226.9563,156.3041,23,49,282.5,370,410,0,
anti-FVIII BE,FA8RBE;BL,16,37.84375,42.29307,0.9,11.15,17.95,55.25,145,0,
ACE,K_ACE_SR,16,29.0625,15.26857,5,21,27.5,40.25,57,0,
Diluent Volume Liquor voor IEF oligoclonale banden,K_DVOLL_LI,15,80.8,77.84619,0,12,48,145.5,218,0,
Cal.W.Droog,K_DBOM_FA,15,4599.067,532.5242,3280,4368.5,4551,4905,5330,0,
totaal anti-IgG 1:10,H_DC_anti_IgGtotaal_EB,15,2.3,0.959911,0.5,1.5,3,3,3,0,
HCG,K_HCG_HP,15,2536.845,6728.756,2,2,2,7.135,21319,0,
CD38,H_CD38_BL,15,58.66667,36.37634,1,25.5,76,88.5,98,0,
C1q,K_C1QKC_SR,15,110.9067,36.62176,23.6,102,123,129.5,163,0,
antiTPO,K_ATPO_SR,15,48.13333,61.77131,30,30,30,33.5,271,0,
"ENA, Scl70 antistoffen",K_ESCL70_SR,15,0.573333,0.503511,0,0.15,0.5,0.85,1.7,0,
Busulfan AUC,A_BUS_AUC,15,21.764,7.343141,5.86,19.25,20.7,23.3,39.4,0,
Lymfocyten (O,SLYMO;O,15,25.46667,22.86253,1,5.5,16,43.5,66,0,
T-cellen,H_fenoTcel_BL,15,14.76667,16.1411,0.3,5.95,7.2,15,48,0,
Brucella melitensis Ig totaal testwaarde,M_BMELnum_SR,15,20,0,20,20,20,20,20,0,
"ENA, SS-B antistoffen",K_ESSB_SR,15,24.51333,93.64104,0,0.1,0.1,0.4,363,0,
TPO antistoffen,aTPO;BL,15,143.0667,231.3592,32,35,45,151.5,910,0,
CPEP,CPEP;BL,15,0.526667,1.151202,0.05,0.1,0.16,0.315,4.6,0,
